1,9,636.7,375.6,1,0,2,6
2,9,636.4,375.3,1,2,2,6
3,9,635.9,374.9,1,6,2,6
4,9,635.7,374.9,1,8,2,6
5,9,635.4,374.9,1,10,2,6
6,9,635.4,375.1,1,12,2,6
7,9,635.4,375.3,1,14,2,6
8,9,635.4,375.5,1,16,2,6
9,9,635.4,375.8,1,18,2,6
10,9,635.3,375.9,1,20,2,6
11,9,635.3,376.1,1,22,2,6
12,9,635.2,376.1,1,24,2,6
13,9,635.2,375.8,1,26,2,6
14,9,635,375.5,1,28,2,6
15,9,634.9,375.3,1,30,2,6
16,9,634.8,375.2,1,32,2,6
17,9,634.7,375.2,2,34,2,6
18,9,634.7,375.1,2,36,2,6
19,9,634.6,375.3,2,38,2,6
20,9,634.5,375.8,2,40,2,6
21,9,634.6,376.3,2,42,2,6
22,9,634.7,376.8,2,44,2,6
23,9,634.7,377.3,2,46,2,6
24,9,634.7,377.8,2,48,2,6
25,9,634.6,378.3,2,50,2,6
26,9,634.5,378.7,2,52,2,6
27,9,634.5,379.1,2,54,2,6
28,9,634.4,379.5,2,56,2,6
29,9,634.4,379.7,2,58,2,6
30,9,634.4,379.9,2,60,2,6
31,9,634.4,380,2,62,2,6
32,9,634.4,380.1,2,64,2,6
33,9,634.5,380.1,3,66,2,6
34,9,634.5,380.1,3,68,2,6
35,9,634.3,380,3,70,2,6
36,9,634.2,379.9,3,72,2,6
37,9,634.1,379.8,3,74,2,6
38,9,634.2,379.6,3,76,2,6
39,9,634.4,379.4,3,78,2,6
40,9,634.5,379.2,3,80,2,6
41,9,634.7,378.9,3,82,2,6
42,9,635,378.6,3,84,2,6
43,9,635.2,378.3,3,86,2,6
44,9,635.3,378.1,3,88,2,6
45,9,635.2,377.9,3,90,2,6
46,9,635,377.7,3,92,2,6
47,9,634.8,377.4,3,94,2,6
48,9,634.5,377.3,3,96,2,6
49,9,634.4,377.2,3,98,2,6
50,9,634.3,377,4,100,2,6
51,9,634.2,376.9,4,102,2,6
52,9,634,376.8,4,104,2,6
53,9,633.9,377.3,4,106,2,6
54,9,633.8,377.8,4,108,2,6
55,9,633.7,378.3,4,110,2,6
56,9,633.6,378.9,4,112,2,6
57,9,633.5,379.5,4,114,2,6
58,9,633.5,380.1,4,116,2,6
