6,,1,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2
7,,1,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2
9,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,,1,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99
11,,1,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2
12,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,,1,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2
14,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,,1,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2
16,,1,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99
17,,1,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2
18,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,,1,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2
21,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,,1,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2
24,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,,2,8.5,8.416,101,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,,3,5.7,5.583,67,3,3,3,3,3,3,3,2,2,2,2,2,2,2
27,,2,9,9,108,2,2,2,2,2,2,2,2,2,2,2,2,2,2
28,,3,4.7,4.583,55,3,3,3,3,3,3,3,2,2,2,2,2,2,2
29,,2,9.1,9.083,109,2,2,2,2,2,2,2,2,2,2,2,2,2,2
30,,2,10.1,10.083,121,2,2,2,2,2,2,2,2,2,2,2,2,2,2
31,,2,9.1,9.083,109,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32,,5,1.9,1.75,21,5,5,5,5,5,5,5,2,2,2,2,2,2,2
33,,5,1.7,1.583,19,5,5,5,5,5,5,5,2,2,2,2,2,2,2
34,,4,3.11,3.916,47,4,4,4,4,4,4,4,2,2,2,2,2,2,2
35,,2,10.6,10.5,126,2,2,2,2,2,2,2,2,2,2,2,2,2,2
36,,2,8.9,8.75,105,2,2,2,2,2,2,2,2,2,2,2,2,2,2
37,,7,0.11,0.916,11,7,7,7,7,7,7,7,2,2,2,2,2,2,2
38,,5,1.9,1.75,21,5,5,5,5,5,5,5,2,2,2,2,2,2,2
39,,-999,-999,-999,-999,10,10,10,10,10,10,10,10,10,10,10,10,10,10
40,,-999,-999,-999,-999,10,10,10,10,10,10,10,10,10,10,10,10,10,10
41,,2,9.7,9.583,115,2,2,2,2,2,2,99,2,2,2,2,2,2,99
42,,4,3.7,3.583,43,99,99,99,99,99,99,99,99,99,99,99,99,99,99
43,,5,1.11,1.916,23,99,99,99,99,99,99,99,99,99,99,99,99,99,99
44,,7,0.9,0.75,9,7,7,7,99,7,7,7,2,2,2,99,2,2,2
45,,4,2.11,2.916,35,4,4,4,4,4,4,4,2,2,2,2,2,2,2
46,,6,1.1,1.083,13,6,6,6,99,6,6,6,2,2,2,99,2,2,2
47,,-999,-999,-999,-999,10,10,10,10,10,10,10,10,10,10,10,10,10,10
48,,-999,-999,-999,-999,10,10,10,10,10,10,10,10,10,10,10,10,10,10
49,,-999,-999,-999,-999,10,10,10,10,10,10,10,10,10,10,10,10,10,10
50,,7,0.7,0.583,7,7,7,7,99,7,7,99,2,2,2,99,2,2,99
51,,4,2.8,2.666,32,99,4,4,4,4,4,4,99,2,2,2,2,2,2
52,,6,1.5,1.416,17,99,6,99,99,6,6,6,99,2,99,99,2,2,2
53,,6,1.4,1.333,16,6,6,99,99,6,6,6,2,2,99,99,2,2,2
54,,7,0.1,0.833,10,99,99,99,99,99,99,99,99,99,99,99,99,99,99
55,,4,3,3,36,4,4,99,4,99,4,4,2,2,99,2,99,2,2
56,,6,1,1,12,6,6,6,6,6,6,6,2,2,2,2,2,2,2
57,,6,1.5,1.416,17,99,99,99,99,99,99,99,99,99,99,99,99,99,99
58,,4,3.5,3.416,41,4,4,4,4,4,4,4,2,2,2,2,2,2,2
59,,6,1.4,1.333,16,6,6,6,6,6,6,6,2,2,2,2,2,2,2
60,,4,3.4,3.333,40,4,4,4,4,4,4,4,2,2,2,2,2,2,2
61,,6,1.4,1.333,16,6,6,6,6,6,6,6,2,2,2,2,2,2,2
62,,3,5.5,5.416,65,3,3,3,3,3,3,3,2,2,2,2,2,2,2
63,,2,8.2,8.166,98,2,2,2,2,2,2,2,2,2,2,2,2,2,2
64,,3,5,5,60,3,3,3,3,3,3,3,2,2,2,2,2,2,2
65,,2,10.1,10.083,121,2,2,2,2,2,2,2,2,2,2,2,2,2,2
66,,5,1.6,1.5,18,5,5,5,5,5,5,5,2,2,2,2,2,2,2
67,,2,8.3,8.25,99,2,2,2,2,2,2,2,2,2,2,2,2,2,2
68,,4,2.8,2.666,32,4,4,4,4,4,4,4,2,2,2,2,2,2,2
69,,5,1.6,2.5,30,5,5,5,5,5,5,5,2,2,2,2,2,2,2
70,,3,5.8,5.666,68,3,3,3,3,3,3,3,2,2,2,2,2,2,2
71,,3,4.1,4.083,49,3,99,3,3,3,3,3,2,99,2,2,2,2,2
72,,4,2.3,2.25,27,4,4,4,4,4,4,4,2,2,2,2,2,2,2
73,,3,4.4,4.333,52,3,3,3,3,3,3,3,2,2,2,2,2,2,2
74,,5,1.7,1.583,19,99,5,99,99,99,5,5,99,2,99,99,99,2,2
75,,3,4.11,4.916,59,99,99,99,99,99,99,99,99,99,99,99,99,99,99
76,,3,5.8,5.666,68,3,3,3,3,3,3,3,2,2,2,2,2,2,2
77,,3,6.6,6.5,78,3,3,3,3,3,3,3,2,2,2,2,2,2,2
78,,7,0.6,0.5,6,7,7,7,7,7,7,7,2,2,2,2,2,2,2
79,,7,0.7,0.583,7,7,99,7,7,7,99,7,2,99,2,2,2,99,2
80,,4,2.6,2.5,30,4,4,4,4,4,4,4,2,2,2,2,2,2,2
81,,7,0.9,0.75,9,7,7,99,99,7,7,7,2,2,99,99,2,2,2
82,,7,0.7,0.583,7,99,7,7,7,7,7,7,99,2,2,2,2,2,2
83,,4,2.5,2.416,29,4,4,4,4,4,4,4,2,2,2,2,2,2,2
84,,3,4.9,4.75,57,3,3,3,3,3,3,3,2,2,2,2,2,2,2
85,,4,2.7,2.583,31,4,4,4,4,4,4,4,2,2,2,2,2,2,2
86,,5,1.8,1.666,20,5,5,5,5,5,5,5,2,2,2,2,2,2,2
